date,average0,average1,average2,average3,average4,average5,average6,average7,average8,average9,average10,매매가격지수증감률,전세거래활발지수,전세가격변동률
2022-11-28,-0.01672286430788578,-0.005336587825124362,-0.003703964047428889,-0.010392597547009457,-0.008819056579144549,-0.005456268378952899,-0.004164693862113632,-0.002145403119607884,-0.005290152809128701,-0.0059910097201050895,-0.002811756768939868,-0.332472108,5.27335757,-0.735788826
2022-12-05,-0.004278768162260091,-0.005098949333302065,-0.0036926540056642066,-0.008847453707336056,-0.019716989453805504,-0.005775519414752449,-0.007987169408539434,-0.0029121219134770225,-0.004340675874888563,-0.010963877398140696,-0.0025854160828024035,-0.419076628,4.691345519,-0.888105327
2022-12-12,-0.007075830459253432,-0.005614811787339118,-0.0028344648571363737,-0.014464812125932786,-0.010449302319900227,-0.006567867168802224,-0.00700311117589378,-0.0020418775891689147,-0.005950595202337008,-0.00910980220125189,-0.004168404619831504,-0.355921276,5.344534646,-0.949105008
2022-12-19,-0.010701115214886087,-0.0058269404080836746,-0.0037568749332320757,-0.01790238470542056,-0.007089008108220341,-0.004106199509189612,-0.006628678943346069,-0.005050129226268893,-0.005045095009700198,-0.004322335290272017,-0.006017230989376245,-0.463014319,5.449399616,-0.897061907
2022-12-26,-0.016544699905760064,-0.005080454537420368,-0.003943674526343689,-0.010835762972132127,-0.01358032975651858,-0.006015411134270267,-0.006045238666009738,-0.003207893073528898,-0.005552521105313143,-0.002572093818985573,-0.01634905643946019,-0.394092292,5.063009355,-0.900461655
2023-01-02,-0.009136380417246797,-0.003601233292152069,-0.002947690659209483,-0.016315734874585364,-0.010849059796253205,-0.01010403494860553,-0.006133466557159289,-0.0036582218810853936,-0.0047847588808107334,-0.003543036576633794,-0.009056931339635057,-0.326297346,4.582202763,-0.656683072
2023-01-09,-0.014248120067205028,-0.003051445126533614,-0.0023891252264271255,-0.01417957790321869,-0.010256763932586928,-0.0051807508631147425,-0.007535182048229724,-0.0030739912236400855,-0.008948641328195438,-0.005924993654667536,-0.01381110930163253,-0.384935945,7.7588509,-0.80365085
2023-01-16,-0.013096930099504136,-0.0044599871262960816,-0.0033001515370981536,-0.01338983724459512,-0.012087458630220344,-0.0061434664569519895,-0.005516934447101544,-0.0023866324134228178,-0.0049924394361412815,-0.004228001673802718,-0.014919426341240268,-0.541481882,8.13749397,-0.790465236
2023-01-30,-0.012154959697566465,-0.0033025425310381565,-0.0024874607261202875,-0.015421435199996307,-0.01132740033360729,-0.006536394084540957,-0.007382554989360642,-0.0034041687990110257,-0.0053711980130988326,-0.003559037705410569,-0.009752608972088343,-0.505836033,10.10850732,-1.194598895
2023-02-06,-0.010222046505982399,-0.0026793017013694016,-0.0025141062567659673,-0.019762664115949423,-0.015645571231458207,-0.00677797633145266,-0.005882311618686131,-0.0029235923875896366,-0.004995145775653739,-0.0031776890005147454,-0.019389224214745433,-0.394251944,13.56996876,-0.863505922
2023-02-13,-0.00758080865656749,-0.003362103964789307,-0.003863137852219975,-0.011379818253688627,-0.00795728216606111,-0.007775874301724073,-0.005063719306317545,-0.0028010191035699487,-0.011920305180486371,-0.005575202224611886,-0.006989277190296918,-0.301549628,16.12423315,-0.593583746
2023-02-20,0.014802908129520159,0.012216999584106642,0.005070289517154915,0.04087648087599938,0.008000704123546903,0.006758392743946567,0.0185740987109391,0.003741072125642095,0.013521408661349411,0.012528510254749967,0.010895521735550615,-0.355714497,15.88665326,-0.523883515
2023-02-27,0.01158469882769196,0.01611241318940422,0.006094818520000012,0.037106421665685965,0.011346518321035446,0.00971685082941665,0.014970347730088337,0.004905793898949323,0.015568863085091606,0.00812389933859855,0.010011178903814021,-0.22975846,17.17679151,-0.398663933
2023-03-06,0.015911005684126605,0.013587568853708522,0.005276862212184953,0.03763799409133994,0.014320981762332523,0.008237103668694687,0.022603442961672545,0.00547165208833644,0.015912961495832666,0.008487419714535531,0.006945975091180817,-0.303237565,17.96788911,-0.448627413
2023-03-13,0.014235355531013145,0.011507747805532032,0.006551091655876218,0.026839021920034175,0.011382860468767289,0.010056673356078289,0.018230997923236066,0.0038608865618724275,0.015777825645533854,0.01183226708545644,0.008263835179937238,-0.287415317,16.7279419,-0.43575017
2023-03-20,0.013512037904399817,0.014172992378525552,0.006748609047376306,0.04138516532829946,0.010989544465710571,0.008394465036194924,0.017435451260415645,0.0061750425599477335,0.014072832749480667,0.01018895797032585,0.00717071216228273,-0.277560016,18.11696887,-0.343808595
2023-03-27,0.025824458215882543,0.01384272813896008,0.006844838858297281,0.034751385321312146,0.010390397878056068,0.010084960024852136,0.012678627407514343,0.005944966265168215,0.01661147929353575,0.008193925740631184,0.008572925197421453,-0.256353104,16.86008969,-0.327440578
2023-04-03,0.010468512313873355,0.014676108386064346,0.007152446615599609,0.02884729896676912,0.010014554321731373,0.011281333394683155,0.014710229283477925,0.005959386171135915,0.016902284920077927,0.008040240107104026,0.010019467100404267,-0.244324872,18.25834916,-0.302464643
